Bare_Ratio,Clover_Ratio,Label
0.00029894770408163266,0.5192522321428571,0
7.971938775510203e-05,0.35580755739795916,0
0.0011559311224489796,0.3184789540816326,0
0.0,0.4442761479591837,0
0.0001793686224489796,0.46992586096938777,0
0.0,0.11802455357142858,0
0.0,0.09881218112244898,0
0.18046476403061223,0.12527901785714285,1
3.985969387755102e-05,0.15184550382653061,0
9.964923469387755e-05,0.2862523915816326,0
3.985969387755102e-05,0.5273636798469388,0
0.0021324936224489796,0.4796117665816326,0
0.2886240433673469,0.1556122448979592,1
9.964923469387755e-05,0.2862523915816326,0
0.00015943877551020407,0.4561144770408163,0
7.971938775510203e-05,0.5305923150510204,0
0.0001992984693877551,0.5962013711734694,0
7.971938775510203e-05,0.6009845344387755,0
0.0004185267857142857,0.5903021364795918,0
0.00013950892857142856,0.48471380739795916,0
0.0005181760204081633,0.5572783801020408,0
0.4515904017857143,0.14138233418367346,1
0.029974489795918366,0.34703842474489793,0
0.004524075255102041,0.41914461096938777,0
